Timestamp,Tanggal,Pesawat ,Status,Jumlah Penumpang,Jumlah Cargo,Load Factor, Harga Tiket Tertinggi (Departure),Nama Petugas Posko,Remark,Destination ( From - To),Kode Penerbangan, Harga Tiket Terendah (Departure)
22/12/2024 17:42:47,22/12/2024,Citilink,Departure,181,23,100, Rp 1.656.029 ,KARLINA ,Berjadwal,AAP-CGK,QG 423,
22/12/2024 19:42:15,22/12/2024,Batik Air,Arrival,144,558,92, Rp 1.944.700 ,PRAYUDA,Berjadwal,CGK-AAP,ID6676,
22/12/2024 20:14:04,22/12/2024,Super Air Jet,Arrival,182,2654,100, Rp 1.456.780 ,UMMU,Berjadwal,YIA-AAP,IU658,
22/12/2024 20:15:33,22/12/2024,Super Air Jet,Departure,179,0,99, Rp 1.395.700 ,KARLINA,Berjadwal,AAP-SUB,IU643,
22/12/2024 20:32:02,22/12/2024,Batik Air,Departure,157,53,100, Rp 1.944.800 ,UMMU,Berjadwal,AAP-CGK,ID6257,
22/12/2024 22:52:10,22/12/2024,Batik Air,Departure,132,1198,85,,Prayuda elfandro,Berjadwal,AAP-CGK,ID 6677,
23/12/2024 9:48:24,23/12/2024,Batik Air,Arrival,112,541,72, Rp 1.939.000 ,"M.SAPRIANSYAH,BUDI SUPANGAT,TRI HARDANTI,KARMINING",Berjadwal,CGK-AAP,PK-LUH,
23/12/2024 9:52:09,23/12/2024,Batik Air,Departure,155,450,99, Rp 1.939.000 ,"M.SAPRIANSYAH,BUDI SUPANGAT,KARMINING,TRI HARDANTI",Berjadwal,AAP-CGK,ID-6673,
23/12/2024 9:55:23,23/12/2024,Wing air,Arrival,70,4,96, Rp 1.348.000 ,"M.SAPRIANSYAH,BUDI SUPANGAT,KARMINING,TRI HARDANTI",Berjadwal,BEJ-AAP,IW1485,
23/12/2024 9:57:47,23/12/2024,Wing air,Departure,72,4,99, Rp 1.348.800 ,"M.SAPRIANSYAH,BUDI SUPANGAT,KARMINING,TRI HARDANTI",Berjadwal,AAP-BEJ,IW1484,
23/12/2024 10:02:56,23/12/2024,Susi air,Departure,9,,75, Rp 445.000 ,"M.SAPRIANSYAH,BUDI SUPANGAT,KARMINING,TRI HARDANTI",Perintis,AAP-DTD,SI8324,
23/12/2024 10:51:15,23/12/2024,Super Air Jet,Arrival,178,1334,98, Rp 1.299.200 ,"M.SAPRIANSYAH,BUDI SUPANGAT,KARMINING,TRI HARDANTI",Berjadwal,SUB-AAP,IU640,
23/12/2024 10:56:21,23/12/2024,Super Air Jet,Departure,181,253,100, Rp 1.374.200 ,"M.SAPRIANSYAH,BUDI SUPANGAT,KARMINING,TRI HARDANTI",Berjadwal,AAP-SUB,IU641,
23/12/2024 10:58:38,23/12/2024,Citilink,Arrival,144,2304,98, Rp 1.395.623 ,"M.SAPRIANSYAH,BUDI SUPANGAT,KARMINING,TRI HARDANTI",Berjadwal,SUB-AAP,QG460,
23/12/2024 11:08:26,23/12/2024,Susi air,Arrival,8,26,75, Rp 350.000 ,"M.SAPRIANSYAH,BUDI SUPANGAT,KARMINING,TRI HARDANTI",Perintis,RTU-AAP,SI8313,
23/12/2024 11:13:48,23/12/2024,Susi air,Departure,11,47,85, Rp 350.000 ,"M.SAPRIANSYAH,BUDI SUPANGAT,KARMINING,TRI HARDANTI",Perintis,AAP-RTU,SI8312,
23/12/2024 14:21:11,23/12/2024,Citilink,Departure,182,46,100, Rp 1.395.623 ,"RIZKI AULIA, AILSA , FATMA SASKIA",Berjadwal,AAP-SUB,QG461,
23/12/2024 14:45:23,23/12/2024,Batik Air,Arrival,101,757,64,,"RIZKI AULIA, AILSA, FATMA SASKIA",Berjadwal,CGK-AAP,ID6256,
23/12/2024 14:48:35,23/12/2024,Batik Air,Departure,156,1,99, Rp 1.944.800 ,"RIZKI AULIA, AILSA, FATMA SASKIA",Berjadwal,AAP-CGK,ID6257,
